Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
2048;2014;Game;Sliding puzzle game based on numbers and exponential growth.;Gabriele Cirulli;-;English;Logic;Some;All;https://2048.ninja/
"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character";1988;Book;One of the men behind the atomic bomb tells more about his eventful life;Richard P. Feynman | Ralph Leighton;W. W. Norton & Company;English;Physics;Yes;10–13;https://www.goodreads.com/book/show/35167718-what-do-you-care-what-other-people-think?from_search=true&from_srp=true&qid=YXbyxsxU2Q&rank=1
1089 and All That: A Journey into Mathematics;2010;Book;Simplifying difficult mathematical concepts;David Acheson;Oxford University Press;English;Misc.;Yes;8–13;https://www.goodreads.com/book/show/1473405.1089_and_All_That?from_search=true&from_srp=true&qid=b2gOxozZwE&rank=1
30-Second Theories: The 50 Most Thought-Provoking Theories in Science, Each Explained in Half a Minute;2009;Book;Chaos Theory, String Theory, the Theory of Relativity? Intelligent Design? Schrodinger's Cat and Pavlovżs Dog? Sure, you know what they all mean. That is, you've certainly heard of all of them. But do you know enough about them to join a dinner party debate or dazzle the bar with your knowledge?;Paul Parsons;Exlibris Media;English | Norwegian | Swedish;Physics;Yes;All;https://www.adlibris.com/no/bok/teorier-pa-30-sekunder-9788281737037
3blue1brown ;2015–;YouTube;Mathematics with a distinct visual perspective. Linear algebra, calculus, neural networks, topology, and more.;Brant Sanderson;-;English;Misc.;Yes;8–10;https://youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw  
A Beautiful Mind;2001;Film;Biography about John Nash;Ron Howard;Universal Pictures;English;Economics;Yes;8–10;https://youtube.com/c/magiske_monstre 
"A Beautiful Mind : A Biography of John Forbes Nash, Jr.
";1998;Book;Biography on the life of mathematician John Nash;Sylvia Nasar;Simon & Schuster;English;Biography ;Some;All;
A Beginner's Guide to Constructing the Universe: The Mathematical Archetypes of Nature, Art, and Science;2014;Book;Michael Schneider, an education writer and computer consultant, combines science, philosophy, art, and common sense to reaffirm what the ancients observed: that a consistent language of geometric design underpins every level of the universe, from atoms to galaxies, cucumbers to cathedrals. ;Michael S. Schneider;Harper;English;Mathematics in everyday life;;;
A Brief History of Time;1988;Book;Stephen Hawking explains complex concepts in physics in a simple way;Stephen Hawking;Bantam;English;Physics | Astrophysics;Some;8–13;https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time?ac=1&from_search=true&qid=VcW5LO7Ir6&rank=2
A Briefer History of Time: The Science Classic Made More Accessible;1988;Book;Physics book written more in a narrative style. A more accessible version of the successful “A Brief History of Time”. ;Stephen Hawking | Leonard Mlodinow;Bantam;English;Physics | Astrophysics;Yes;5–13;https://www.goodreads.com/book/show/2094.A_Briefer_History_of_Time?from_search=true&from_srp=true&qid=02u1ne8ee5&rank=4
A Dingo Ate My Math Book: Mathematics from Down Under;2017;Book;A Dingo Ate My Math Book presents ingenious, unusual, and beautiful nuggets of mathematics with a distinctly Australian flavor. ~Goodreads;Burkard Polster | Marty Ross;American Mathematical Society;English;Mathematics in everyday life;Yes;10–13;https://www.goodreads.com/book/show/35869553-a-dingo-ate-my-math-book 
A History of π;1970;Book;The history of pi, says the author, though a small part of the history of mathematics, is nevertheless a mirror of the history of man. Petr Beckmann holds up this mirror, giving the background of the times when pi made progress -- and also when it did not, because science was being stifled by militarism or religious fanaticism.;Petr Beckmann;St. Martin's Griffin;Czech | English;Number Theory | Pi;Yes;Adults;https://www.goodreads.com/book/show/586616.A_History_of_
A Mind For Numbers: How to Excel at Math and Science (Even If You Flunked Algebra);2014;Book;Whether you are a student struggling to fulfill a math or science requirement, or you are embarking on a career change that requires a new skill set, A Mind for Numbers offers the tools you need to get a better grasp of that intimidating material. Engineering professor Barbara Oakley knows firsthand how it feels to struggle with math. She flunked her way through high school math and science courses, before enlisting in the army immediately after graduation. When she saw how her lack of mathematical and technical savvy severely limited her options—both to rise in the military and to explore other careers—she returned to school with a newfound determination to re-tool her brain to master the very subjects that had given her so much trouble throughout her entire life.;Barbara Oakley ;TarcherPerigee;English;Self-help in mathematics;;;
A Most Elegant Equation: Euler's Formula and the Beauty of Mathematics;2017;Book;"A book about the world's most beautiful equation: ""eiπ + 1= 0""";David Stipp;Basic Books;English;Number Theory;Yes;10–13;https://www.amazon.com/dp/0465093779?ref=exp_daily_math__dp_vv_d
A Podcast of unnecessary detail ;2020;Podcast;Matt Parker, Steve Mould and Helen Arney talking about things that you wouldn’t believe could be interesting, but turn out to be fascinating when you get down to the nitty and / or gritty.;Matt Parker;Festival of the Spoken Nerd;English;Misc.;Some;8–10;https://festivalofthespokennerd.com/podcast/
A Problem Squared;2019–;Podcast;"Matt Parker and Bec Hill present: A Problem Squared. A podcast dedicated to solving problems of all kinds, such as, ""What should I listen to right now?"". A Podcast Squared. First one's free. You're welcome. Episodes released twokly on Mondays.";Matt Parker;-;English;Misc.;Some;8–10;https://aproblemsquared.libsyn.com/
A Tangled Tale;1893;Book;"A part of the Curiosa Mathematics series. Bound in ""Mathematical Recreations of Lewis Carroll Volume Two"" ";Charles Lutwidge Dodgson | Lewis Carrol;Dover Publications Inc. (1958 ed.);English;Puzzles;;;https://www.goodreads.com/book/show/149727181-pillow-problems-and-a-tangled-tale-mathematical-recreations-of-lewis-car
Abelgøy;1999–2015;Competition;Matematikkonkurranse I Telemark for mellomtrinnet ;-;Porsgrunn kommune, Statoil og Høgskolen i Telemark;Norwegian;Misc.;Yes;9;https://www.heroya-industripark.no/aktuelt/Abelgoey-for-17.-gang-i-Heroeya-Forskningspark
Abelkonkurransen;2007–;Competition;Konkurranse i matematisk problemløsning for elever i videregående skole. Vinnerne går videre til den internasjonale finalen i IOM. ;-;Matematikksenteret;Norwegian;Problem solving;Yes;10–13;https://oppgaver.abelkonkurransen.no/
Abelprisen;2002–;Prize;Norsk pris på 7.5 millioner kroner som deles ut til matematikere som har særlig utmerket seg;-;Det Norske Videnskaps-Akademi;Norwegian;Misc.;Yes;8–13;https://abelprisen.no/
Abels Tårn;2011–;Podcast;Panelråd;Torkild Jemterud | varierer;NRK;Norwegian;Misc.;Some;8–10;https://radio.nrk.no/podkast/abels_taarn
Abelsymposiet ;2004–;Conference;Årlig, lukket konferanse for matematikere hvor et definert tema blir diskutert ;-;Norsk matematisk forening;Norwegian;Misc.;Yes;Adults;https://abelsymposium.no/
Academic Earth;2009–;Video ;"Academic Earth was launched on the premise that everyone deserves access to a world-class education. In 2009, we built the first collection of free online college courses from the world’s top universities. The world of open education has exploded since then, so today our curated lists of online courses are hand selected by our staff to show you the very best offerings by subject area. We also make sure there is something for everyone: whether you want to explore a new topic or advance in your current field, we bring the amazing world of academia to you for free.
";Richard Ludlow | Chris Bruner | Liam Pisano;-;English;Misc.;;Higher ed.;https://academicearth.org/
AdaptedMind ;2013;Website;Mathematical games and exercises designed for use in schools. ;-;AdaptedMind ;English;Misc.;Yes;1;https://www.adaptedmind.com/
Advanced Calculus Explored ;2019;Book;Example-based textbook that attempts to explain calculus in an easy-to-understand way;Hamza E. Alsamraee;Curious Math Publications;English;Calculus;Yes;Adults;https://www.amazon.com/dp/0578616823?ref=exp_daily_math__dp_vv_d
Akari / Light Up;n.d.;Puzzle;Grid-based puzzle game. Light bulbs should be placed around with some conditions. ;-;Nikoli Inc. ;Japanese;Logic;Little;All;https://www.puzzle-light-up.com/
Alan Turing: The Enigma;1983;Book;Capturing both the inner and outer drama of Turing’s life, Andrew Hodges tells how Turing’s revolutionary idea of 1936—the concept of a universal machine—laid the foundation for the modern computer and how Turing brought the idea to practical realization in 1945 with his electronic design. ;Andrew Hodges | Douglas Hofstadter ;Walker Books;English;Biography ;;;
Albert;2015;Didactics;A fun math service developed by experienced educators and teachers for children and young people.;Arta Mandegari og Salman Eskandari;eEducation;English | Norwegian | Swedish;Misc. | Programming;Yes;1–5;https://heialbert.no/about
Alex Bellos’s Monday Puzzle;2015–;Paper column;Newspaper column with riddles and puzzles ;Alex Bellos;The Guardian;English;Problem solving;Yes;5–13;https://www.theguardian.com/science/series/alex-bellos-monday-puzzle
Alex Through the Looking Glass: How Life Reflects Numbers and Numbers Reflect Life;2014;Book;"""From triangles, rotations and power laws, to cones, curves and the dreaded calculus, Alex takes you on a journey of mathematical discovery with his signature wit and limitless enthusiasm. He sifts through over 30,000 survey submissions to uncover the world’s favourite number, and meets a mathematician who looks for universes in his garage. He attends the World Mathematical Congress in India, and visits the engineer who designed the first roller-coaster loop."" ~Goodreads";Alex Bellos;Bloomsbury Publishing;English;Mathematics in everyday life;Yes;8–13;https://www.goodreads.com/book/show/26037826-alex-through-the-looking---glass?from_search=true&from_srp=true&qid=2u6zXZ51fA&rank=1
An Imaginary Tale: The Story of √-1;1998;Book;"Addressing readers with both a general and scholarly interest in mathematics, Nahin weaves into this narrative entertaining historical facts and mathematical discussions, including the application of complex numbers and functions to important problems, such as Kepler's laws of planetary motion and ac electrical circuits. This book can be read as an engaging history, almost a biography, of one of the most evasive and pervasive ""numbers"" in all of mathematics.
";Paul J. Nahin;Princeton University Press;English;Number Theory | Complex numbers;Yes;All;https://www.amazon.com/Imaginary-Tale-Princeton-Science-Library/dp/0691169241
An Intermediate Logic Workbook for Gritty Kids: Spatial Reasoning, Math Puzzles, Word Games, Logic Problems, Focus Activities, Two-Player Games;2024;Book;Educational fun through simple rules, engaging activities, diverse challenges, and playful characters.;Dan Allbaugh;-;English;Puzzles;Yes;3–5;https://www.amazon.co.uk/Intermediate-Logic-Workbook-Gritty-Kids/dp/B0CTYQ1JGR?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.w_9joC8vNFDLI6x2XzVHhhRtxnQnebyPCnmQPJjMjOcFR7DwR8381MJM0-AD4uj8-U2XqSlQFU-QAG474B3ewXrVh5_c7yff04n9XfLH0v4K4rPP5B6aCivIiZwcZemK9iKlHqcR-GQusx85_BoeqA.c857AOiusDjp4M4vayhAJRyQLXSA6xNTm_W3PzKDhBs&dib_tag=AUTHOR
Angry Birds;2009;Game;Popular strategy game based on projectile trajectories and gravity. ;Jaakko Iisalo;Rovio Entertainment;English;Physics;Little;All;https://www.forbes.com/sites/andyrobertson/2015/07/16/angry-birds-2/
Another Logic Workbook for Gritty Kids: Spatial Reasoning, Math Puzzles, Word Games, Logic Problems, Focus Activities, Two-Player Games.;2022;Book;Another Logic Workbook for Gritty Kids is a follow-up to the international best-selling Logic Workbook for Gritty Kids. The overall difficulty level has shifted slightly higher, but the book's flow and personality remain uniquely familiar while introducing an immense diversity of new challenges.;Dan Allbaugh;-;English;Puzzles;Yes;3–7;https://www.amazon.co.uk/Another-Logic-Workbook-Gritty-Kids/dp/173577085X?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.w_9joC8vNFDLI6x2XzVHhhRtxnQnebyPCnmQPJjMjOcFR7DwR8381MJM0-AD4uj8-U2XqSlQFU-QAG474B3ewXrVh5_c7yff04n9XfLH0v4K4rPP5B6aCivIiZwcZemK9iKlHqcR-GQusx85_BoeqA.c857AOiusDjp4M4vayhAJRyQLXSA6xNTm_W3PzKDhBs&dib_tag=AUTHOR
Arukone / Numberlink;–;Game;Puzzle where you have to connect matching numbers to each other;-;-;Japanese;Logic;Some;All;https://www.wired.com/2010/11/dr-sudoku-prescribes-numberlink-puzzles-2/
Astrophysics for People in a Hurry;2017;Book;Astrophysics explained simply by one of the world's leading science communicators;Neil deGrasse Tyson;W. W. Norton & Company;English;Physics | Astrophysics;Yes;8–13;https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391
Ayliean;2017;Blog ;Blog with a range of tips and resources for teaching mathematics at elementary school level;Ayliean MacDonald;-;English;Misc.;;1–10;https://ayliean.com/
Ayliean;2019;TikTok;Mathematician - Artist - Professional Nerd;Ayliean MacDonald;-;English;Misc.;;All;https://www.tiktok.com/@ayliean?lang=en
Ayliean;2015–;YouTube;Videos about recreational mathematics, phenomena, arts and crafts;Ayliean MacDonald;-;English;Misc.;;All;https://www.youtube.com/c/Ayliean
Baltic Way;1990–;Competition;Team competition in mathematics that has been held annually since 1990. The Nordic participants are selected from NMC. ;Oleg Koshik;Baltic Way;English;Misc.;Yes;10–13;https://bw2020.olympiaadid.ut.ee/
Battleship;1967;Board game;Strategy game where you place pieces on a grid. The goal is to hit your opponent's pieces without knowing where they are located.;Milton Bradley;Hasbro;-;Cartesian Geometry;Yes;All;https://www.hasbro.com/common/instruct/BattleShip_(2002).PDF
Bayes' Theorem Examples: A Visual Introduction For Beginners;2016;Book;Over 60 hand-drawn visuals are included throughout the book to help you work through each problem as you learn by example. The beautifully hand-drawn visual illustrations are specifically designed and formatted for the kindle.;Dan Morris | Mark Koning ;Blue Windmill Media;English;Probability;;8–13;
Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks;2019;Book;Fun guide to learning Bayesian statistics and probability through unusual and illustrative examples;Will Kurt;No Starch Press;English;Probability;Yes;10–13;https://www.amazon.com/Bayesian-Statistics-Fun-Will-Kurt/dp/1593279566/ref=pd_sbs_5/138-7495430-0684424?pd_rd_w=ypvyq&pf_rd_p=3676f086-9496-4fd7-8490-77cf7f43f846&pf_rd_r=ESKJ0KYQYVHXGGVH6286&pd_rd_r=27206453-6007-4624-8edc-d583f35c997d&pd_rd_wg=J9LRU&pd_rd_i=1593279566&psc=1
Beautiful Geometry;2014;Book;If you've ever thought that mathematics and art don't mix, this stunning visual history of geometry will change your mind. As much a work of art as a book about mathematics, Beautiful Geometry presents more than sixty exquisite color plates illustrating a wide range of geometric patterns and theorems, accompanied by brief accounts of the fascinating history and people behind each. With artwork by Swiss artist Eugen Jost and text by math historian Eli Maor, this unique celebration of geometry covers numerous subjects, from straightedge-and-compass constructions to intriguing configurations involving infinity. The result is a delightful and informative illustrated tour through the 2,500-year-old history of one of the most important branches of mathematics.;Eli Maor | Eugen Jost;Princeton University Press;English;Art | Geometry;;;
Best Illusion of the Year Contest;2005–;Competition;"The contest is a celebration of the ingenuity and creativity of the world's premier visual illusion research community. Visual illusions are those perceptual experiences that do not match the physical reality. Our perception of the outside world is generated indirectly by brain mechanisms, and so all visual perception is illusory to some extent. The study of visual illusions is therefore of critical importance to the understanding of the basic mechanisms of sensory perception, as well as to cure many diseases of the visual system. The visual illusion community includes visual scientists, ophthalmologists, neurologists, and visual artists that use a variety of methods to help discover the neural underpinnings of visual illusory perception. 
";Susana Martinez-Conde | Stephen Macknik;Neural Correlate Society;English;Illusions;Yes;All;
Binairo / Takuzu;2009;Puzzle;Grid-based puzzle game. Each row must have the same number of black and white dots, each row must be different, and there can be no more than two white/black dots in a row. ;Peter De Schepper and Frank Coussement;-;Japanese;Logic;Some;All;https://www.puzzle-binairo.com/
blackpenredpen;2012–;YouTube;"""This channel is about math for fun! Most of the topics will be calculus-based. Sometimes we will also investigate some weird equations and complex numbers! Feel free to subscribe if you also like math!"" ~blackpenredpen";Steve Chow;-;English;Calculus;Yes;Adults;https://www.youtube.com/c/blackpenredpen
Blanke Ark;2009, 2011;Documentary;Håvard Tjore følger ungdom som holder på å falle ut av det norske skolesystemet;Håvard Tjore;Monster Entertainment;Norwegian;Misc.;Little;All;https://www.discoveryplus.no/programmer/blanke-ark
Bli god i matte med Mattedama - 1.-4. klasse;2017;Book;Nå blir matteleksene enklere! Mattedama viser deg hvordan matematikk kan være enkelt og hvordan matteleksene blir enklere. Boka tar for seg læreplanen i matte og går grundig, men lettfattelig gjennom alle kompetansemålene for de ulike skoletrinnene. ~ark.no;Vibeke Gwendoline Fængsrud;Kagge forlag;Norwegian;Misc.;Yes;1–4;https://www.ark.no/boker/Vibeke-Gwendoline-Faengsrud-Bli-god-i-matte-med-Mattedama-9788248919575
Bli god i matte med Mattedama - 5.-7. klasse;2017;Book;Nå blir matteleksene enklere! Mattedama viser deg hvordan matematikk kan være enkelt og hvordan matteleksene blir enklere. Boka tar for seg læreplanen i matte og går grundig, men lettfattelig gjennom alle kompetansemålene for de ulike skoletrinnene. ~ark.no;Vibeke Gwendoline Fængsrud;Kagge forlag;Norwegian;Misc.;Yes;5–7;https://www.ark.no/boker/Vibeke-Gwendoline-Faengsrud-Bli-god-i-matte-med-Mattedama-9788248919582
Bli god i matte med Mattedama - 8.-10. klasse;2017;Book;Nå blir matteleksene enklere! Mattedama viser deg hvordan matematikk kan være enkelt og hvordan matteleksene blir enklere. Boka tar for seg læreplanen i matte og går grundig, men lettfattelig gjennom alle kompetansemålene for de ulike skoletrinnene. ~ark.no;Vibeke Gwendoline Fængsrud;Kagge forlag;Norwegian;Misc.;Yes;8–10;https://www.ark.no/boker/Vibeke-Gwendoline-Faengsrud-Bli-god-i-matte-med-Mattedama-9788248919599
Bogga Tall;2015;Didactics;Grunnleggende læring om tall og posisjonssystemet. ;Lars Johannessen;BoggaTap;Norwegian;Arithmetics;Yes;1–3;https://www.barnevakten.no/apper-for-elever/
Boom Blox;2008;Video game;Video game for the Nintendo Wii. A series of physics-based puzzles, the objective being either to keep structures made of blocks from being knocked down or to knock them over by various means;Steven Spielberg;EA Games;English;Physics;;All;https://en.wikipedia.org/wiki/Boom_Blox
Brain Age;2005–2019;Game;Series of IQ-training games for Nintendo DS;Ryuta Kawashima;Nintendo;English;Misc.;Some;All;https://www.nintendo.com/games/detail/brain-age-concentration-training-3ds/
Braingle;1999–;Math problem bank;Braingle is a place to solve puzzles, brush up on your trivia, play games and give your brain a workout. Get ready to have your brain tangled!;-;-;English;Puzzles | Logic | Misc.;;All;https://www.braingle.com/mind/home.php
Brainteasers and Riddles for Gritty Kids: 300 Difficult Mind-Bending Lateral Thinking, Logic, and Math Puzzles for Kids and Families;2024;Book;Working through brainteasers not only boosts problem-solving skills but also enhances memory, learning abilities, and strengthens grit by demanding sustained effort and focus. This collection of fun riddles is designed to stretch thinking by forcing minds to exercise differently from conventional learning. Inside you’ll find:;Dan Allbaugh;-;English;Puzzles;Yes;1–13;https://www.amazon.com/Brainteasers-Riddles-Gritty-Kids-Mind-Bending/dp/B0DNXQJV15
Brief Answers to the Big Questions;2018;Book;En av verdens største hjerner sine memoarer. Hawking svarer på en del store spørsmål han tror vil prege menneskeheten fremover;Stephen Hawking;Bantam;English | Norwegian;Physics | Astrophysics;Yes;8–13;https://www.amazon.com/Brief-Answers-Questions-Stephen-Hawking/dp/1984819194
Brilliant;2012–;Math problem bank;Interactive problem solving that’s effective and fun. Learn to think and solve problems with step-by-step interactive lessons.;Sue Khim;Brilliant ;English;Misc.;Yes;All;https://statistrikk.no/en/frontpage/
Build a Mathematical Mind - Even If You Think You Can't Have One: Become a Pattern Detective. Boost Your Critical and Logical Thinking Skills;2023;Book;This is a research-backed math manual you'll love to read. It contains examples for faster learning and greater everyday impact.;Albert Rutherford;A.R.B. Publications;English;Self-help in mathematics;;;
Building Thinking Classrooms in Mathematics, Grades K-12: 14 Teaching Practices for Enhancing Learning;2020;Book;Sparked by observing teachers struggle to implement rich mathematics tasks to engage students in deep thinking, Peter Liljedahl has translated his 15 years of research into this practical guide on how to move toward a thinking classroom. Building Thinking Classrooms in Mathematics, Grades K–12 helps teachers implement 14 optimal practices for thinking that create an ideal setting for deep mathematics learning to occur. ;Peter Liljedahl;Corwin;English;Didactics;;;
Calculating the Cosmos;2016;Book;A handbook on how mathematics can be used to understand the universe ;Ian Stewart;Basic Books;English;Physics | Astrophysics;Yes;10–13;https://www.amazon.com/dp/1541617258?ref=exp_daily_math__dp_vv_d
Celebration of Mind (CoM) ;2020–;Conference;Local mathematics gatherings around the world;-;Gathering 4 Gardner ;English;Misc.;Yes;All;https://www.gathering4gardner.org/celebration-of-mind/
Change Is the Only Constant: The Wisdom of Calculus in a Madcap World;2019;Book;Change Is The Only Constant is an engaging and eloquent exploration of the intersection between calculus and daily life, complete with Orlin's sly humor and wonderfully bad drawings.;Ben Orlin;Black Dog & Leventhal;English;Calculus;Yes;10–13;https://www.amazon.com/Change-Only-Constant-Wisdom-Calculus/dp/0316509086/ref=pd_rhf_se_s_pd_crcd_2/138-7495430-0684424?pd_rd_w=JCfxW&pf_rd_p=ecb2692f-0365-4eca-a102-58ef51a608ce&pf_rd_r=JPP407TX13WA59AF8M0Z&pd_rd_r=cc48ecff-34ba-4be5-8fb3-8946ca09894a&pd_rd_wg=CHXbe&pd_rd_i=0316509086&psc=1
CHASING DRAGONS BETWEEN DIMENSIONS: An Exploration of Fractals: Mathematics, Philosophy, and Reality;2023;Book;A comprehensive exploration of the captivating world of fractals, stretching from their origins in mathematical theory to their vast applications in the modern world. The book invites readers on a journey through the landscape of fractals, starting from their mathematical foundations, moving through their intricate connections with nature, the cosmos, and even human physiology, and concluding with the most recent advancements in fractal theory and its integration in fields such as machine learning and quantum physics. Told in an engaging, narrative style, the book is an accessible and enlightening read for anyone fascinated by the interplay of mathematics, nature, and the complexity of our universe. The book not only educates but also sparks awe and curiosity, revealing the hidden beauty of our world through the lens of fractals.;Matthew Weinberg ;Independently published;English;Geometry | Fractals;;;
Code.org;2013–;Website;American website and learning tool about coding;Hadi Partovi | Ali Partovi ;Code.org;English | Norwegian;Programming;Yes;5–13;https://code.org/
CodeMonkey;n.d.;Didactics;Game-based coding for primary schools;-;Tell Forlag;English | Norwegian | Russian | Spanish;Programming;Yes;5–7;https://www.codemonkey.com/partner-no-tell-forlag/
Col;1982;Game;Pencil and paper game, specifically a map-coloring game, involving the shading of areas in a line drawing according to the rules of graph coloring.;Colin Vout | John Conway;-;English;Graph theory;;All;https://en.wikipedia.org/wiki/Col_(game)
Complete Mathematics: A step by step introduction to the mathematical essentials;2010;Book;Are you looking for a clear, accessible guide to mathematics that can help you brush up your skills and rediscover the key concepts and techniques? Complete Mathematics provides an invaluable, step-by-step introduction to the subject. Packed full of worked examples and useful exercises, it will guide you through the essentials quickly and easily, giving you the knowledge you need to gain maths confidence.;Trevor Johnson | Hugh Neill ;Teach Yourself;English;Self-help in mathematics;;;
Computerphile ;2009;YouTube;Videos about how computers work;Brady Haran;-;English;Programming;Yes;5–13;https://www.youtube.com/user/Computerphile/videos
Concept is Puzzles ;1997–;Puzzle;Website featuring a variety of logic puzzles;-;Conceptis Ltd.;Chinese | English | German | Japanese | Russian;Logic;Some;All;https://www.conceptispuzzles.com/index.aspx
Concepts of Modern Mathematics ;1975;Book;"In this charming volume, a noted English mathematician uses humor and anecdotes to illuminate the concepts underlying ""new math"": groups, sets, subsets, topology, Boolean algebra, and other subjects. No advanced mathematical background is needed to follow thought-provoking discussions of such topics as functions, symmetry, axiomatics, counting, topology, hyperspace, linear algebra, and more. 200 illustrations.";Ian Stewart;Dover Publications Inc.;English;Geometry | Algebra | Functions | Symmetry | Axiomatics | Counting | Topology | Hyperspace | Linear algebra;Yes;All;https://www.amazon.com/Concepts-Modern-Mathematics-Dover-Books/dp/0486284247
Cookie Clicker;2013;Game;Idle game;Julien Thiennot;Orteil;English;Number Theory | Large Numbers;Some;All;https://orteil.dashnet.org/cookieclicker/
Cosinus;1999–;Journal;French popular science monthly magazine. Contains articles, book reviews, anecdotes, exercises, and brain teasers. ;Louis Faton | Olivier Fabre (ed.);Faton ;French;Misc.;Yes;All;https://www.cosinus-mag.com/
Count Like an Egyptian: A Hands-on Introduction to Ancient Mathematics;2014;Book;Count Like an Egyptian provides a fun, hands-on introduction to the intuitive and often-surprising art of ancient Egyptian math. David Reimer guides you step-by-step through addition, subtraction, multiplication, and more. He even shows you how fractions and decimals may have been calculated—they technically didn’t exist in the land of the pharaohs. ;David Reimer;Princeton University Press;English;Number Theory | Numeral systems;;;
CovCom;2021–2023;Research project;Research project focusing on Covid-19 and how health science should best be communicated to the public ;Jo Røislien;University of Stavanger;Norwegian | English;Communication | Statistics | Medicine;;All;https://covcom.org/
Cracking the Cryptic;2017–;YouTube;Instructional videos and explanations of difficult Sudoku puzzles, crossword puzzles, and other puzzles;Mark Goodliffe | Simon Anthony;-;English;Logic;Little;8–13;https://www.youtube.com/c/CrackingTheCryptic/about
Crochet Coral Reef ;2007;Art;The Wertheim sisters' Crochet Coral Reef project is one of the largest participatory art and science endeavors in the world. By creating giant installations that mimic living coral reefs, crocheted out of yarn and types of plastic, and using algorithms inspired by hyperbolic geometry, the project resides at the intersection of mathematics, science, handicraft, environmentalism and community art practice. (Wikipedia);Margaret Wertheim;-;English;Non-Euclidean Geometry;Yes;All;https://www.ted.com/talks/margaret_wertheim_the_beautiful_math_of_coral?subtitle=en
Crush the Castle;2009;Game;Strategy game based on projectile trajectories and gravity. The inspiration for Angry Birds.;"Joey Betz | Chris ""ConArtist"" Condon";ArmorGames;English;Physics;Little;All;https://www.kongregate.com/games/armorgames/crush-the-castle
"Curiosa Mathematica, Part 1: A New Theory Of Parallels
";1890;Book;"A mathematical treatise on the theory of parallels.The book is divided into two parts, with the first part focusing on the history of the theory of parallels and the second part presenting Dodgson's new theory. In the first part, Dodgson discusses the various attempts made by mathematicians to prove Euclid's fifth postulate, which deals with the nature of parallel lines.In the second part, Dodgson presents his own theory, which he calls """"The Parallel Postulate."""" (Goodreads) ";Charles Lutwidge Dodgson | Lewis Carrol;Kessinger Publishing (2010 ed.);English;Geometry | Axioms;Yes;;https://www.goodreads.com/book/show/10123077-curiosa-mathematica-part-1
Curves for the Mathematically Curious: An Anthology of the Unpredictable, Historical, Beautiful, and Romantic;2019;Book;"""Curves for the Mathematically Curious is a rigorous and enriching mathematical experience for anyone interested in curves, and the book is designed so that readers who choose can follow the details with pencil and paper. Every curve has a story worth telling""~Goodreads";Julian Havil;Princeton University Press;English;Equations;;All;https://www.amazon.com/Curves-Mathematically-Curious-Unpredictable-Historical/dp/0691180059
Cut the Knot;1996–2018;Math problem bank;Interactive mathematics miscellany and puzzles;Alexander Bogomolny;Wolfram Foundation;English;Misc.;Yes;All;https://cut-the-knot.org
Cut the Knot: Probability Riddles;2020;Book;Riddles about probability ;Alexander Bogomolny;Wolfram Media;English;Probability;Yes;10–13;https://medium.com/incerto/maestro-bogomolny-8498f08c0f0c
DailyMath;2019–;Instagram;Instagram profile that promotes and explains various mathematical concepts ;Hamza E. Alsamraee;-;English;Misc.;Yes;8–13;https://www.instagram.com/daily_math_/?hl=en
Dan Meyer;2020–;Blog ;Dan Meyer has created problems and videos to inspire students to solve problems;Dan Meyer;-;English;Misc.;Yes;5–13;https://danmeyer.substack.com/
Darts;1860;Game;Throwing game with arrows. Can be optimized with statistics to increase the chances of winning.;Brian Gamlin;-;-;Statistics;Yes;All;https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-985X.2010.00651.x
DataGenetics;2009–;Blog ;Blog filled with posts about programming and combinatorics;Nick Berry;DataGenetics;English;Combinatorics | Programming;Yes;All;https://datagenetics.com/blog.html
Den internasjonale matematikkolympiaden (IOM) ;1959–;Competition;Team competition in mathematics that has been held annually since 1959. The winners of the NMC are sent on to the IOM. ;Gregor Dolinar ;IMO Board;English;Misc.;Yes;10–13;http://www.imo-official.org/problems.aspx
Den lille Gangetabellen;2019;Music;Sanger til å pugge den lille gangetabellen;?;?;Norwegian;Multiplication;Yes;1–7;https://www.youtube.com/channel/UC_M2jI-BTH_xrxgrekSySkA
Den Matematiske Krydderhylle;2013;Book;Samling av matematiske svisker hentet fra mange fagområder. Den vil være av interesse for alle som har lyst til å oppdage nye sider ved matematikken.;Nils Kr. Rossing;Vigmostad & Bjørke AS;Norwegian;Misc.;Yes;8–13;https://www.norli.no/den-matematiske-krydderhylle
Den nordiske matematikkonkurransen (NMC);1987–;Competition;Competition for school pupils in the Nordic countries. The fifteen best performers in the Abel Competition go on to the NMC. The winners of the NMC go on to the IOM and Baltic Way. ;-;Nordic Mathematical Contest;English | Norwegian | Danish | Finish | Icelandic | Swedish;Misc.;Yes;10–13;http://www.georgmohr.dk/nmcperm/hist.html
