Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
Ingeniørspillet;2011;Board game;"""Hvis du er typen som liker en god utfordring på trivia, så er ingeniørspillet for deg. Spillet ble lansert i mars 2011 og er et samarbeid mellom blant annet NTNU, Atmel, Kongsberggruppen og Hydro. Både ingeniører, studenter og forskere har vært med å utvikle spørsmålene innenfor følgende kategorier: Kraft og krefter; Kjemi og Biologi; Eksplosjoner og Eksperimenter; Data og Dingser; Tall og Ingeniørmiks. ~Nerdebutikken.no";Andreas Wahl ;NTNU | Atmel | Kongsberggruppen | Hydro;Norwegian;Misc.;Little;Higher ed.;https://www.nerdebutikken.no/products/ingeniorspillet
Inn til kjernen;2025;Book;"Energi og tilgang til energi kommer til å være et brennhett tema som svært mange

kommer til å være opptatt av i den nærmeste fremtid. Et tema som berører hver enkelt av oss.

Verden står midt oppe i en klimakrise, en naturkrise, en miljøkrise og en geopolitisk krise.

Tiden er inne for å utforske alle muligheter for hvordan man skal løse energikrisen, og med det åpne opp for samtalen om hvorvidt man skal kunne se på kjernekraft som en del av løsningen, og eventuelle fordeler og ulemper ved dette.";Sunniva Rose ;Megafon forlag;Norwegian;Physics;Some;;
Introducing Game Theory: A Graphic Guide;2017;Book;Game theory is the study of how we make a decision when the outcome of our moves depends on the decisions of someone else. Economists Ivan and Tuvana Pastine explain why, in these situations, we sometimes cooperate, sometimes clash, and sometimes act in a way that seems completely random.;Ivan Pastine | Tuvana Pastine | Tom Humberstone ;Icon Books;English;Game theory;;;
Is Math Real?: How Simple Questions Lead Us to Mathematics' Deepest Truths;2023;Book;One of the world’s most creative mathematicians offers a “brilliant” and “mesmerizing” (Popular Science) new way to look at math—focusing on questions, not answers   ;Eugenia Cheng;Basic Books;English;Philosophy of Mathematics;;;https://www.adlibris.com/no/bok/is-maths-real-9781788169530
It's a Numberful World: How Math Is Hiding Everywhere;2019;Book;Why aren’t left-handers extinct? What makes a rainbow round? How is a pancreas like a pendulum? These may not look like math questions, but they are—because they all have to do with patterns. And mathematics, at heart, is the study of patterns.;Eddie Woo;The Experiment;English;Mathematics in everyday life;;;
It's All a Game: The History of Board Games from Monopoly to Settlers of Catan;2017;Book;In It’s All a Game, Tristan Donovan, British journalist and author of Replay: The History of Video Games, opens the box on the incredible and often surprising history and psychology of board games. He traces the evolution of the game across cultures, time periods, and continents, from the paranoid Chicago toy genius behind classics like Operation and Mouse Trap, to the role of Monopoly in helping prisoners of war escape the Nazis, and even the scientific use of board games today to teach artificial intelligence how to reason and how to win. With these compelling stories and characters, Donovan ultimately reveals why board games—from chess to Monopoly to Risk and more—have captured hearts and minds all over the world for generations.;Tristan Donovan;Thomas Dunne Books;English;;;;
Jigsaw Sudoku;n.d.;Puzzle;Ligner Sudoku, bare at rutene som skal fylles ut ikke er kvadratiske;-;-;Japanese;Logic;Little;All;https://krazydad.com/jigsawsudoku/
John Napier: Life, Logarithms, and Legacy;2014;Book;"John Napier (1550–1617) is celebrated today as the man who invented logarithms―an enormous intellectual achievement that would soon lead to the development of their mechanical equivalent in the slide rule: the two would serve humanity as the principal means of calculation until the mid-1970s. Yet, despite Napier's pioneering efforts, his life and work have not attracted detailed modern scrutiny. John Napier is the first contemporary biography to take an in-depth look at the multiple facets of Napier’s story: his privileged position as the eighth Laird of Merchiston and the son of influential Scottish landowners; his reputation as a magician who dabbled in alchemy; his interest in agriculture; his involvement with a notorious outlaw; his staunch anti-Catholic beliefs; his interactions with such peers as Henry Briggs, Johannes Kepler, and Tycho Brahe; and, most notably, his estimable mathematical legacy.";Julian Havil;Princeton University Press;English;Biography | Logarithms;Yes;Higher ed.;https://www.goodreads.com/book/show/21981627-john-napier?from_search=true&from_srp=true&qid=Wh8xPq6wON&rank=1
Journey Through Genius;1990;Book;Like masterpieces of art, music, and literature, great mathematical theorems are creative milestones, works of genius destined to last forever. Now William Dunham gives them the attention they deserve.;William Dunham;Penguin Press;English;History of Mathematics;;;https://www.goodreads.com/book/show/116185.Journey_through_Genius
Juicy Mathematical Memes ;2018–;Instagram;Instagram profile with over 150k followers posting humorous math content;-;-;English;Misc.;Yes;10–13;https://www.instagram.com/juicy_mathematical_memes/?hl=en
Julia Robinson Mathematics Festival;2007–;Conference;International and online conference on mathematics. The Julia Robinson Mathematics Festival aims to inspire joy in mathematics through exploration and collaboration. We do this by engaging educators and students through festive events, supporting underserved and underrepresented communities, and creating high-quality, accessible materials.;Nancy Blachman;The Julia Robinson Mathematics Festival;English;Misc.;Yes;All;https://www.jrmf.org/events
Julia Robinson Mathematics Festival (JRMF);2007–;Organisation;Educational organization that sponsors locally organized mathematics festivals and online webinars targeting K–12 students.;Nancy Blachman;The Julia Robinson Mathematics Festival;English;Misc.;Yes;All;https://www.jrmf.org/activities?isMultiplayer=1&sort=publishedAt_DESC&tab=1
Kahoot;2012–;Quiz application;"Norwegian online game-based learning platform. It has learning games, also known as ""kahoots"", which are user-generated multiple-choice quizzes that can be accessed via a web browser or the Kahoot! app.";Johan Brand | Jamie Brooker and Morten Versvik;NTNU;Several;;;;
